localityId,suburb,bedrooms,bathrooms,AAR,numberOfProperty,AARAppartment,NumberAARAppartment,AARHouse,NumberAARHouse,AAR75Percentile,AAR50Percentile,HighestType,AARJanuary,AARFebuary,AARMarch,AARApril,AARMay,AARJnue,AARJuly,AARAugust,AARSeptember,AAROctober,AARNovember,AARDecember,AverageOccupancy,AO75Percentile,AO50Percentile,AOJanuary,AOFebuary,AOMarch,AOMay,AOJnue,AOJuly,AOAugust,AOSeptember,AOOctober,AONovember,AODecember,averageRent,averageRent50Percentile,averageRent75Percentile,numberOfProperty
1,Kamabh,2,1,354.79,1,0,0,354.79,1,354.79,354.79,House,6987.14,6321.19,7116.67,6160,4240,4100,11350,12035.4,12464.6,12200,0,0,0.651,0.651,0.651,0.968,0.9,0.968,0.357,0.769,0.9,0.903,0.967,0.903,0,0,380,380,380,1
2,Kamabh,2,2,447.3533333,3,447.3533333,3,0,0,449.49,449.49,Appartment,6478.89,4880,4146.666667,8933.333333,11806.93333,12321.53333,12288.2,12050,8907.063333,6438.89,0,0,0.504333333,0.5385,0.436,0.624,0.388666667,0.631666667,0.902,0.945666667,0.924333333,0.924333333,0.767333333,0.811666667,0,0,,,,
3,Kamabh,2,3,1038.37,1,1038.37,1,0,0,1038.37,1038.37,Appartment,5170,5345,5720,6987.14,6321.19,7116.67,6160,4240,4100,11350,0,0,0.665,0.665,0.665,0.917,0.852,0.889,0.9,0.968,0.452,0.357,0.769,0.9,0,0,,,,
4,Monash,1,1,176.16,1,176.16,1,0,0,176.16,176.16,Appartment,11975,8425,11350,12035.4,12464.6,12200,11975,8425,3775,4693.33,0,0,0.956,0.956,0.956,0.935,0.467,0.9,0.967,0.903,0.935,0.467,1,0.645,0,0,,,,
5,Monash,2,1,414.535,2,414.7,1,414.37,1,414.6175,414.535,House,9097.7,3296.335,4539.5,8320,8602.7,8904.8,8960,6078.57,5833.095,6418.335,0,0,0.601,0.6775,0.601,0.6775,0.371,0.7735,0.91,0.9095,0.896,0.9425,0.876,0.9285,0,0,400,400,400,1
6,Monash,2,2,314.9,2,0,0,314.9,2,331.815,314.9,House,6160,4240,4100,11350,12035.4,12464.6,12200,11975,8425,3775,0,0,0.6385,0.75475,0.6385,0.452,0.357,0.769,0.903,0.967,0.903,0.935,0.467,1,0,0,,,,
7,Monash,5,3,641.48,1,0,0,641.48,1,641.48,641.48,House,4693.33,2352.67,4979,5290,5170,5345,5720,6987.14,6321.19,7116.67,0,0,0.903,0.903,0.903,0.645,0.385,0.778,0.917,0.852,0.889,0.968,0.9,0.968,0,0,,,,
8,Oxley,1,1,235.78,1,0,0,235.78,1,235.78,235.78,House,4693.33,2352.67,4979,5290,5170,5345,5720,6987.14,6321.19,7116.67,0,0,0.77,0.77,0.77,0.645,0.385,0.778,0.917,0.852,0.889,0.968,0.9,0.968,0,0,,,,
9,Oxley,1,2,260,1,260,1,0,0,260,260,Appartment,0,0,0,0,0,0,0,0,0,0,0,0,0.641,0.641,0.641,0,0,0,0,0,0,0,0,0,0,0,,,,
10,Oxley,2,1,450.95,1,450.95,1,0,0,450.95,450.95,Appartment,2352.67,4979,5290,5170,5345,5720,6987.14,6321.19,7116.67,6321.19,0,0,0.779,0.779,0.779,0.385,0.778,0.815,0.852,0.889,0.968,0.9,0.968,0.9,0,0,420,420,420,1
