LocalityAgentBedroomsId,localityId,suburb,bedrooms,bathrooms,agency,averageRent,averageRent75Percentile,averageRent50Percentile,numberOfProperty
1,16593,Kamabh,2,1,Luton Woden,380.0,380.0,380.0,1
2,16593,Kamabh,3,1,Independent Property Management,450.0,450.0,450.0,1
3,16593,Kamabh,3,1,Peter Blackshaw Tuggeranong,435.0,452.5,435.0,2
4,16593,Kamabh,3,1,Ray White Canberra,540.0,540.0,540.0,1
5,16593,Kamabh,3,2,One Agency Sandy Morris,550.0,550.0,550.0,1
6,6973,Monash,2,1,Cream Residential,400.0,400.0,400.0,1
7,6973,Monash,3,1,Peter Blackshaw Tuggeranong,480.0,480.0,480.0,1
8,6973,Monash,3,2,Hodgkinson Real Estate,495.0,495.0,495.0,1
9,6973,Monash,3,2,Peter Blackshaw Tuggeranong,495.0,495.0,495.0,1
10,12021,Oxley,2,1,Peter Blackshaw Tuggeranong,420.0,420.0,420.0,1
11,12021,Oxley,3,2,Peter Blackshaw Tuggeranong,520.0,520.0,520.0,1
